OMRÅDE;KØN;ALDER;CIVILSTAND;TID;INDHOLD
København;I alt;I alt;Gift/separeret;2008K1;128556
København;I alt;I alt;Gift/separeret;2008K2;128289
København;I alt;I alt;Gift/separeret;2008K3;128728
København;I alt;I alt;Gift/separeret;2008K4;130727
København;I alt;I alt;Gift/separeret;2009K1;130995
København;I alt;I alt;Gift/separeret;2009K2;130736
København;I alt;I alt;Gift/separeret;2009K3;131489
København;I alt;I alt;Gift/separeret;2009K4;133014
København;I alt;I alt;Gift/separeret;2010K1;133196
København;I alt;I alt;Gift/separeret;2010K2;132864
København;I alt;I alt;Gift/separeret;2010K3;133650
København;I alt;I alt;Gift/separeret;2010K4;135341
København;I alt;I alt;Gift/separeret;2011K1;135422
København;I alt;I alt;Gift/separeret;2011K2;135002
København;I alt;I alt;Gift/separeret;2011K3;135713
København;I alt;I alt;Gift/separeret;2011K4;136965
København;I alt;I alt;Gift/separeret;2012K1;136827
København;I alt;I alt;Gift/separeret;2012K2;136238
København;I alt;I alt;Gift/separeret;2012K3;136858
København;I alt;I alt;Gift/separeret;2012K4;137880
København;I alt;I alt;Gift/separeret;2013K1;138132
København;I alt;I alt;Gift/separeret;2013K2;137542
København;I alt;I alt;Gift/separeret;2013K3;137917
København;I alt;I alt;Gift/separeret;2013K4;139664
København;I alt;I alt;Gift/separeret;2014K1;138830
København;I alt;I alt;Gift/separeret;2014K2;138186
København;I alt;I alt;Gift/separeret;2014K3;138329
København;I alt;I alt;Gift/separeret;2014K4;139729
København;I alt;I alt;Gift/separeret;2015K1;139613
København;I alt;I alt;Gift/separeret;2015K2;139465
København;I alt;I alt;Gift/separeret;2015K3;139893
København;I alt;I alt;Gift/separeret;2015K4;141141
København;I alt;I alt;Gift/separeret;2016K1;140881
København;I alt;I alt;Gift/separeret;2016K2;140688
København;I alt;I alt;Gift/separeret;2016K3;141427
København;I alt;I alt;Gift/separeret;2016K4;143024
København;I alt;I alt;Gift/separeret;2017K1;143176
København;I alt;I alt;Gift/separeret;2017K2;142783
København;I alt;I alt;Gift/separeret;2017K3;143640
København;I alt;I alt;Gift/separeret;2017K4;145607
København;I alt;I alt;Gift/separeret;2018K1;145479
København;I alt;I alt;Gift/separeret;2018K2;145301
København;I alt;I alt;Gift/separeret;2018K3;146287
København;I alt;I alt;Gift/separeret;2018K4;148172
København;I alt;I alt;Gift/separeret;2019K1;147974
København;I alt;I alt;Gift/separeret;2019K2;147848
København;I alt;I alt;Gift/separeret;2019K3;148834
København;I alt;I alt;Gift/separeret;2019K4;150492
København;I alt;I alt;Gift/separeret;2020K1;150458
